en,zh-tw,pos,description
enter,輸入,verb,
Enter,Enter 鍵,noun,鍵盤按鍵名稱
Eritrean nakfa,厄利垂亞奈克法,noun,貨幣名稱
error,錯誤,noun,
error message,錯誤訊息,noun,
Esperanto,世界文,noun,語言名稱，介面中稱文不稱語
Estonian,愛沙尼亞文,noun,語言名稱，介面中稱文不稱語
Etc,其他,noun,
Ethiopian birr,衣索比亞比爾,noun,貨幣名稱
Ethiopic,衣索比亞文,noun,語言名稱，介面中稱文不稱語
Eucla,尤克拉,noun,洲、國家/地區、城市名稱
Euro,歐元,noun,貨幣名稱
Europe,歐洲,noun,洲、國家/地區、城市名稱
Ewe,埃維文,noun,語言名稱，介面中稱文不稱語
excerpt,內容摘要,noun,
existing,現有,adjective,
expand,展開,verb,
export,匯出,verb,
export as,匯出為,verb,
extension,擴充功能,noun,
extension,副檔名,noun,
Facebook,Facebook,noun,社交網路服務平台名稱
Facebook Messenger,Facebook Messenger,noun,通訊軟體名稱
Faeroe,法羅群島,noun,洲、國家/地區、城市名稱
Fakaofo,法克奧佛,noun,洲、國家/地區、城市名稱
Falkland Islands pound,福克蘭群島鎊,noun,貨幣名稱
fallback,後援,noun,
fallback chain,後援鏈結,noun,
false positive,誤判,noun,
Famagusta,法馬古斯塔,noun,洲、國家/地區、城市名稱
FAQ,常見問題集,noun,
Faroe,法羅群島,noun,洲、國家/地區、城市名稱
Faroese,法羅文,noun,語言名稱，介面中稱文不稱語
fatal,嚴重,adjective,
fatal error,嚴重錯誤,noun,
favicon,網站圖示,noun,
favorites,我的最愛,noun,
featured,精選,adjective,
featured image,精選圖片,noun,
featured post,精選內容,noun,
feed,資訊提供,noun,
feedback,意見反應,noun,
field,欄位,noun,
field data,欄位資料,noun,
Fiji,斐濟,noun,洲、國家/地區、城市名稱
Fijian,斐濟文,noun,語言名稱，介面中稱文不稱語
Fijian dollar,斐濟元,noun,貨幣名稱
file,檔案,noun,
File Transfer Protocol,檔案傳輸通訊協定,noun,
filename,檔案名稱,noun,
filter,濾鏡,noun,適用於多媒體處理
filter,篩選器,noun,適用於程式開發
filter,篩選,verb,
filter,篩選條件,noun,
filter hook,篩選器勾點,noun,適用於區塊編輯器、全站編輯相關內容
Finnish,芬蘭文,noun,語言名稱，介面中稱文不稱語
flag,標幟,noun,適用於程式開發
flag,標幟,verb,
flag,旗標,noun,適用於程式開發
flag,標示,verb,
flip horizontal,水平翻轉,verb,
flip vertical,垂直翻轉,verb,
focal point,焦點,noun,
folder,資料夾,noun,
font,字型,noun,適用於字型相關內容
font face,字型定義,noun,適用於字型相關內容
font family,字型系列,noun,適用於字型相關內容
font name,字型名稱,noun,適用於字型相關內容
font size,字型大小,noun,適用於字型相關內容
font variant,字型變體,noun,適用於字型相關內容
font weight,字型粗細,noun,適用於字型相關內容
footer,頁尾,noun,
footnote,註腳,noun,
foreground,前景,noun,
form,表單,noun,
Fort Nelson,納爾遜堡,noun,洲、國家/地區、城市名稱
Fort Wayne,韋恩堡,noun,洲、國家/地區、城市名稱
Fortaleza,福塔力沙,noun,洲、國家/地區、城市名稱
forum,論壇,noun,
framework,架構,noun,
Freetown,自由城,noun,洲、國家/地區、城市名稱
French,法文,noun,語言名稱，介面中稱文不稱語
French (Belgium),法文 (比利時),noun,語言名稱，介面中稱文不稱語
French (Canada),法文 (加拿大),noun,語言名稱，介面中稱文不稱語
French (France),法文 (法國),noun,語言名稱，介面中稱文不稱語
frequently asked questions,常見問題集,noun,
Frisian,夫里斯蘭文,noun,語言名稱，介面中稱文不稱語
Friulian,佛裡烏裡文,noun,語言名稱，介面中稱文不稱語
front end,前端,noun,
front-end,前端,noun,
FTP,FTP,noun,適用於通訊協定，FTP 是 File Transfer Protocol (檔案傳輸通訊協定) 的縮寫
Fulah,富拉赫文,noun,語言名稱，介面中稱文不稱語
full site editing,全站編輯,noun,適用於區塊編輯器、全站編輯相關內容
Funafuti,富納富提,noun,洲、國家/地區、城市名稱
function,函式,noun,適用於程式開發
funnel,漏斗,noun,
Gaborone,嘉柏隆里,noun,洲、國家/地區、城市名稱
Galapagos,加拉巴哥群島,noun,洲、國家/地區、城市名稱
Galician,加里西亞文,noun,語言名稱，介面中稱文不稱語
gallery,圖庫,noun,
Gambian dalasi,甘比亞達拉西,noun,貨幣名稱
Gambier,甘比爾群島,noun,洲、國家/地區、城市名稱
Ganda,干達文,noun,語言名稱，介面中稱文不稱語
Gaza,加薩,noun,洲、國家/地區、城市名稱
GDPR,GDPR,noun,GDPR 是 General Data Protection Regulation (一般資料保護規定) 的縮寫
General Data Protection Regulation,一般資料保護規定,noun,
General Public License,通用公眾授權,noun,
generator,產生器,noun,
Georgian,喬治亞文,noun,語言名稱，介面中稱文不稱語
Georgian lari,喬治亞拉里,noun,貨幣名稱
German,德文,noun,語言名稱，介面中稱文不稱語
German (Austria),德文 (奧地利),noun,語言名稱，介面中稱文不稱語
German (Formal),德文 (正式),noun,語言名稱，介面中稱文不稱語
German (Switzerland),德文 (瑞士),noun,語言名稱，介面中稱文不稱語
"German (Switzerland, Informal)",德文 (瑞士，非正式),noun,語言名稱，介面中稱文不稱語
Ghana cedi,迦納塞地,noun,貨幣名稱
Gibraltar,直布羅陀,noun,洲、國家/地區、城市名稱
Gibraltar pound,直布羅陀鎊,noun,貨幣名稱
GitHub,GitHub,noun,原始程式碼存放庫服務名稱
GitLab,GitLab,noun,原始程式碼存放庫服務名稱
Glace Bay,格萊斯貝,noun,洲、國家/地區、城市名稱
GMT,格林威治標準時間 (GMT),noun,
GMT+0,GMT+0,noun,
GMT+1,GMT+1,noun,
GMT+10,GMT+10,noun,
GMT+11,GMT+11,noun,
GMT+12,GMT+12,noun,
GMT+2,GMT+2,noun,
GMT+3,GMT+3,noun,
GMT+4,GMT+4,noun,
GMT+5,GMT+5,noun,
GMT+6,GMT+6,noun,
GMT+7,GMT+7,noun,
GMT+8,GMT+8,noun,
GMT+9,GMT+9,noun,
GMT0,GMT0,noun,
GMT-0,GMT-0,noun,
GMT-1,GMT-1,noun,
GMT-10,GMT-10,noun,
GMT-11,GMT-11,noun,
GMT-12,GMT-12,noun,
GMT-13,GMT-13,noun,
GMT-14,GMT-14,noun,
GMT-2,GMT-2,noun,
GMT-3,GMT-3,noun,
GMT-4,GMT-4,noun,
GMT-5,GMT-5,noun,
GMT-6,GMT-6,noun,
GMT-7,GMT-7,noun,
GMT-8,GMT-8,noun,
GMT-9,GMT-9,noun,
GNU General Public License,GNU 通用公眾授權,noun,
go back,返回,verb,
Godthab,哥特哈布,noun,洲、國家/地區、城市名稱
Google,Google,noun,
Google Analytics,Google Analytics,noun,建議保留服務英文名稱
Google Analytics,Google 分析,noun,Google 台灣官方譯文，但是不建議使用
Google Docs,Google Docs,noun,
Google Drive,Google 雲端硬碟,noun,
Google Fonts,Google Fonts,noun,
Google Fonts,Google Fonts 網頁字型,noun,
Google Maps,Google 地圖,noun,
Google My Business,Google 我的商家,noun,
Google Photos,Google 相簿,noun,
Google Plus,Google+,noun,社交網路服務平台名稱
Google Sheets,Google Sheets,noun,
Google Slides,Google Slides,noun,
Google+,Google+,noun,社交網路服務平台名稱
Goolge Business Profiles,Google 商家檔案,noun,
Goose Bay,古斯貝,noun,洲、國家/地區、城市名稱
GPL,GPL,noun,GPL 是 GNU General Public License (GNU 通用公眾授權) 的縮寫
Grand Turk,格蘭土克,noun,洲、國家/地區、城市名稱
grant,授予,verb,
Gravatar,Gravatar,noun,個人頭像服務名稱
Greek,希臘文,noun,語言名稱，介面中稱文不稱語
Greenwich,格林威治,noun,洲、國家/地區、城市名稱
Grenada,格瑞那達,noun,洲、國家/地區、城市名稱
grid view,格狀檢視,noun,適用於檢視方式名稱
group,群組,noun,
group,組成群組,verb,
Guadalcanal,瓜達卡那島,noun,洲、國家/地區、城市名稱
Guadeloupe,瓜地洛普,noun,洲、國家/地區、城市名稱
Guam,關島,noun,洲、國家/地區、城市名稱
Guarani,瓜拉尼文,noun,語言名稱，介面中稱文不稱語
Guatemala,瓜地馬拉,noun,洲、國家/地區、城市名稱
Guatemalan quetzal,瓜地馬拉格查爾,noun,貨幣名稱
Guayaquil,圭亞基爾,noun,洲、國家/地區、城市名稱
Guernsey,根西島,noun,洲、國家/地區、城市名稱
Guernsey pound,根西島鎊,noun,貨幣名稱
guest,訪客,noun,
Guinean franc,幾內亞法郎,noun,貨幣名稱
Gujarati,古吉拉特文,noun,語言名稱，介面中稱文不稱語
Gurmukhi,果魯穆奇文,noun,語言名稱，介面中稱文不稱語
Gutenberg,Gutenberg,noun,Gutenberg 外掛是 WordPress 5.0 之後內建的區塊編輯器 (Block Editor) 的前期測試版本。請注意，Gutenberg 外掛只有「Gutenberg」這個名稱，沒有「古騰堡」這種中譯名稱。此外，大多數開發者提及的 Gutenberg，反倒不是單指 Gutenberg 外掛，而是泛指「區塊編輯器」。
Guyana,蓋亞那,noun,洲、國家/地區、城市名稱
Guyanese dollar,蓋亞那元,noun,貨幣名稱
Haitian,海地克裏奧爾文,noun,語言名稱，介面中稱文不稱語
Haitian gourde,海地古德,noun,貨幣名稱
Halifax,哈利法克斯,noun,洲、國家/地區、城市名稱
handle,控點,noun,
Hangul,韓文,noun,語言名稱，介面中稱文不稱語
Hangul Consonant,韓文 (子音),noun,語言名稱，介面中稱文不稱語
Harare,哈拉雷,noun,洲、國家/地區、城市名稱
Harbin,哈爾濱,noun,洲、國家/地區、城市名稱
hard link,直接連結,noun,適用於作業系統及檔案系統
hardware,硬體,noun,
hash tag,主題標籤,noun,
hashtag,主題標籤,noun,
Hausa,豪沙文,noun,語言名稱，介面中稱文不稱語
Havana,哈瓦那,noun,洲、國家/地區、城市名稱
Hazaragi,哈撒拉基文,noun,語言名稱，介面中稱文不稱語
header,標頭,noun,適用於資料傳輸或資料標示
header,頁首,noun,
heading,標題,noun,
heading level,標題階層,noun,
Heavenly Stem,天干,noun,
Hebrew,希伯來文,noun,語言名稱，介面中稱文不稱語
Hebron,希伯侖,noun,洲、國家/地區、城市名稱
height,高度,noun,
Helsinki,赫爾辛基,noun,洲、國家/地區、城市名稱
Herero,赫雷羅文,noun,語言名稱，介面中稱文不稱語
Hermosillo,埃莫西約,noun,洲、國家/地區、城市名稱
hide,隱藏,verb,
hierarchy,階層架構,noun,
Hindi,印度文,noun,語言名稱，介面中稱文不稱語
Hindi (Devanagari),印度文 (梵文字母),noun,語言名稱，介面中稱文不稱語
HiNet,HiNet,noun,
Hiragana,日文平假名,noun,語言名稱，介面中稱文不稱語
Hiragana-Iroha,日文平假名 (伊呂波歌),noun,語言名稱，介面中稱文不稱語
Hiri Motu,希里莫圖文,noun,語言名稱，介面中稱文不稱語
history,歷程記錄,noun,
hit rate,命中率,noun,
hit ratio,命中率,noun,
Ho Chi Minh,胡志明市,noun,洲、國家/地區、城市名稱
Hobart,霍巴特,noun,洲、國家/地區、城市名稱
hold,按住,verb,操作鍵盤、滑鼠及螢幕
Honduran lempira,宏都拉斯倫皮拉,noun,貨幣名稱
Hong Kong,香港,noun,洲、國家/地區、城市名稱
Hong Kong dollar,港元,noun,貨幣名稱
Honolulu,檀香山,noun,洲、國家/地區、城市名稱
hook,勾點,noun,適用於程式開發
horizontal,水平,adjective,
Hovd,哈霍德,noun,洲、國家/地區、城市名稱
hover,游標暫留,verb,
HSTS,HSTS,noun,適用於網際網路通訊相關
HTML entities,HTML 實體,noun,
HTTP Strict Transport Security,HTTP 嚴格傳輸安全性,noun,適用於網際網路通訊相關，HSTS 的原文
Hungarian,匈牙利文,noun,語言名稱，介面中稱文不稱語
Hungarian forint,匈牙利福林,noun,貨幣名稱
hyphen,連字號,noun,適用於標點符號 -
hyphenate,連字號,noun,適用於標點符號 -
I18N,I18N,noun,I18N 是 Internationalization (國際化) 的縮寫，因為原文中的 I 及 N 之間有 18 個字母
I18N,國際化,noun,I18N 是 Internationalization (國際化) 的縮寫，因為原文中的 I 及 N 之間有 18 個字母
Icelandic,冰島文,noun,語言名稱，介面中稱文不稱語
Icelandic kr&oacute;na,冰島克朗,noun,貨幣名稱
icon,圖示,noun,
ICQ,ICQ,noun,通訊軟體名稱
identifier,識別碼,noun,
identify,識別,verb,
Ido,伊多文,noun,語言名稱，介面中稱文不稱語
iFrame,iFrame,noun,
Igbo,伊布文,noun,語言名稱，介面中稱文不稱語
image,圖片,noun,
Image Caption,圖片說明文字,noun,
import,匯入,verb,
inactive,未啟用,adjective,
inactive,非使用中,adjective,
indent,縮排,verb,
index,索引,noun,適用於搜尋引擎相關內容
index,進行索引,verb,適用於搜尋引擎相關內容
index,指數,noun,
Indian,印度,noun,洲、國家/地區、城市名稱
Indian rupee,印度盧比,noun,貨幣名稱
Indiana,印第安那州,noun,洲、國家/地區、城市名稱
Indianapolis,印第安納波利斯,noun,洲、國家/地區、城市名稱
Indonesian,印尼文,noun,語言名稱，介面中稱文不稱語
Indonesian rupiah,印尼盾,noun,貨幣名稱
infinite scroll,無限捲動,noun,
info,資訊,noun,
information,資訊,noun,
inline,內嵌,adjective,
Inline CSS,內嵌 CSS,noun,
Inline JavaScript,內嵌 JavaScript,noun,
Inline Script,內嵌指令碼,noun,
insert,插入,verb,
insert into,插入至,verb,
inserter,插入器,noun,
insight,深入解析,noun,
Instagram,Instagram,noun,社交網路服務平台名稱
installer,安裝程式,noun,
instance,執行個體,noun,
integrate,整合,noun,
integration,整合,noun,
interface,介面,noun,
Interlingua (International Auxiliary Language Association),人工國際文 (國際輔助語協會),noun,語言名稱，介面中稱文不稱語
Interlingue,人工國際文,noun,語言名稱，介面中稱文不稱語
Internationalization,國際化,noun,
internet,網際網路,noun,
Inuktitut,依奴提圖特文,noun,語言名稱，介面中稱文不稱語
Inupiaq,伊努特文,noun,語言名稱，介面中稱文不稱語
Inuvik,因紐維克,noun,洲、國家/地區、城市名稱
invalid,無效,adjective,
iOS,iOS,noun,作業系統名稱
IP,IP 位址,noun,有時候開發者會將 IP Address 寫為 Email。請注意，IP 該譯為「IP 地址」時，就譯為「IP 地址」
IP address,IP 位址,noun,
Iqaluit,伊魁特,noun,洲、國家/地區、城市名稱
Iranian rial,伊朗里亞爾,noun,貨幣名稱
Iranian toman,伊朗託曼 (1 託曼 = 10 里亞爾),noun,貨幣名稱
Iraqi dinar,伊拉克戴納,noun,貨幣名稱
Irish,愛爾蘭文,noun,語言名稱，介面中稱文不稱語
Irkutsk,伊爾庫次克,noun,洲、國家/地區、城市名稱
Isle of Man,曼島,noun,洲、國家/地區、城市名稱
Israeli new shekel,以色列新謝克爾,noun,貨幣名稱
Istanbul,伊斯坦堡,noun,洲、國家/地區、城市名稱
Italian,義大利文,noun,語言名稱，介面中稱文不稱語
italic,斜體,noun,適用於字型相關內容
item,項目,noun,
item list,項目清單,noun,
iteration,疊代,noun,
Jakarta,雅加達,noun,洲、國家/地區、城市名稱
Jamaica,牙買加,noun,洲、國家/地區、城市名稱
Jamaican dollar,牙買加元,noun,貨幣名稱
Jan Mayen,央棉群島,noun,洲、國家/地區、城市名稱
Japanese,日文,noun,語言名稱，介面中稱文不稱語
Japanese Formal,日文 (正式),noun,語言名稱，介面中稱文不稱語
Japanese Informal,日文 (口語),noun,語言名稱，介面中稱文不稱語
Japanese yen,日圓,noun,貨幣名稱
Javanese,爪哇文,noun,語言名稱，介面中稱文不稱語
JavaScript,JavaScript,noun,
Jayapura,嘉雅浦拉,noun,洲、國家/地區、城市名稱
Jersey,澤西島,noun,洲、國家/地區、城市名稱
Jersey pound,澤西島鎊,noun,貨幣名稱
Jerusalem,耶路撒冷,noun,洲、國家/地區、城市名稱
Johannesburg,約翰尼斯堡,noun,洲、國家/地區、城市名稱
Johnston,詹斯頓島,noun,洲、國家/地區、城市名稱
Jordanian dinar,約旦戴納,noun,貨幣名稱
jQuery,jQuery,noun,
Juba,朱巴,noun,洲、國家/地區、城市名稱
Jujuy,胡胡伊,noun,洲、國家/地區、城市名稱
Juneau,朱諾,noun,洲、國家/地區、城市名稱
Kabul,喀布爾,noun,洲、國家/地區、城市名稱
Kabyle,卡拜爾文,noun,語言名稱，介面中稱文不稱語
KakaoTalk,KakaoTalk,noun,通訊軟體名稱
Kalaallisut,格陵蘭文,noun,語言名稱，介面中稱文不稱語
Kaliningrad,卡里寧格勒,noun,洲、國家/地區、城市名稱
Kamchatka,堪察加,noun,洲、國家/地區、城市名稱
Kampala,坎帕拉,noun,洲、國家/地區、城市名稱
Kannada,坎那達文,noun,語言名稱，介面中稱文不稱語
Kanton,坎頓,noun,洲、國家/地區、城市名稱
Kanuri,卡努里文,noun,語言名稱，介面中稱文不稱語
Karachi,克洛奇,noun,洲、國家/地區、城市名稱
Kartuli,喬治亞文,noun,語言名稱，介面中稱文不稱語
Kashgar,喀什市,noun,洲、國家/地區、城市名稱
Kashmiri,喀什米爾文,noun,語言名稱，介面中稱文不稱語
Katakana,日文片假名,noun,語言名稱，介面中稱文不稱語
Katakana-Iroha,日文片假名 (伊呂波歌),noun,語言名稱，介面中稱文不稱語
Kathmandu,加德滿都,noun,洲、國家/地區、城市名稱
Katmandu,加德滿都,noun,洲、國家/地區、城市名稱
Kazakh,哈薩克文,noun,語言名稱，介面中稱文不稱語
Kazakhstani tenge,哈薩克斯坦堅戈,noun,貨幣名稱
Kentucky,肯塔基州,noun,洲、國家/地區、城市名稱
Kenyan shilling,肯亞先令,noun,貨幣名稱
Kerguelen,凱爾蓋朗群島,noun,洲、國家/地區、城市名稱
keyboard,鍵盤,noun,
keyboard shortcut,鍵盤快速鍵,noun,
Khandyga,漢德加,noun,洲、國家/地區、城市名稱
Khartoum,喀土穆,noun,洲、國家/地區、城市名稱
Khmer,高棉文,noun,語言名稱，介面中稱文不稱語
Kiev,基輔,noun,洲、國家/地區、城市名稱
Kigali,吉佳利,noun,洲、國家/地區、城市名稱
Kikuyu,吉庫尤文,noun,語言名稱，介面中稱文不稱語
Kinshasa,金夏沙,noun,洲、國家/地區、城市名稱
Kinyarwanda,金揚萬答文,noun,語言名稱，介面中稱文不稱語
Kirghiz,柯爾克孜文,noun,語言名稱，介面中稱文不稱語
Kiritimati,刻里提瑪斯,noun,洲、國家/地區、城市名稱
Kirov,基洛夫,noun,洲、國家/地區、城市名稱
Kirundi,科隆地文,noun,語言名稱，介面中稱文不稱語
Knox,諾克斯,noun,洲、國家/地區、城市名稱
Knox IN,諾克斯,noun,洲、國家/地區、城市名稱
Kolkata,加爾各答,noun,洲、國家/地區、城市名稱
Komi,科米文,noun,語言名稱，介面中稱文不稱語
Kongo,剛果文,noun,語言名稱，介面中稱文不稱語
Korean,韓文,noun,語言名稱，介面中稱文不稱語
Korean Hangul Formal,韓國韓文 (正式),noun,語言名稱，介面中稱文不稱語
Korean Hanja Formal,韓國漢字 (正式),noun,語言名稱，介面中稱文不稱語
Korean Hanja Informal,韓國漢字 (口語),noun,語言名稱，介面中稱文不稱語
Kosrae,科瑟爾,noun,洲、國家/地區、城市名稱
Kralendijk,克拉倫代克,noun,洲、國家/地區、城市名稱
Krasnoyarsk,克拉斯諾亞爾斯克,noun,洲、國家/地區、城市名稱
Kuala Lumpur,吉隆坡,noun,洲、國家/地區、城市名稱
Kuching,古晉,noun,洲、國家/地區、城市名稱
Kurdish,庫德文,noun,語言名稱，介面中稱文不稱語
Kurdish (Sorani),庫德文 (索拉尼),noun,語言名稱，介面中稱文不稱語
Kuwait,科威特,noun,洲、國家/地區、城市名稱
Kuwaiti dinar,科威特戴納,noun,貨幣名稱
Kwajalein,瓜加林島,noun,洲、國家/地區、城市名稱
Kwanyama,克萬亞瑪文,noun,語言名稱，介面中稱文不稱語
Kyiv,基輔,noun,洲、國家/地區、城市名稱
Kyrgyzstani som,吉爾吉斯斯坦索姆,noun,貨幣名稱
L10N,本地化,noun,L10N 是 Localization (本地化) 的縮寫，因為原文中的 L 及 N 之間有 10 個字母
L10N,L10N,noun,L10N 是 Localization (本地化) 的縮寫，因為原文中的 L 及 N 之間有 10 個字母
La Paz,拉帕茲,noun,洲、國家/地區、城市名稱
La Rioja,拉里奧哈,noun,洲、國家/地區、城市名稱
Lagos,拉哥斯,noun,洲、國家/地區、城市名稱
landing page,到達網頁,noun,
language pack,語言套件,noun,
Lao,寮文,noun,語言名稱，介面中稱文不稱語
Lao kip,寮國基普,noun,貨幣名稱
Laotian,寮文,noun,語言名稱，介面中稱文不稱語
Latin,拉丁文,noun,語言名稱，介面中稱文不稱語
Latvian,拉脫維亞文,noun,語言名稱，介面中稱文不稱語
launch,啟動,verb,
layout,版面配置,noun,
lazy load,延遲載入,noun,
lazy load,延遲載入,verb,
Lebanese pound,黎巴嫩鎊,noun,貨幣名稱
left arrow key,向左鍵,noun,鍵盤按鍵名稱
Left to Right,從左至右,noun,文字方向
left-click,點擊左鍵,verb,操作鍵盤、滑鼠及螢幕
legacy,舊版,adjective,
legacy,舊式,adjective,
legacy,傳統,adjective,
legend,圖例,noun,
Lesotho loti,賴索托洛蒂,noun,貨幣名稱
letter,字母,noun,
LHI,羅豪島,noun,
Liberian dollar,賴比瑞亞元,noun,貨幣名稱
Libreville,自由市,noun,洲、國家/地區、城市名稱
Libyan dinar,利比亞戴納,noun,貨幣名稱
license,授權,noun,
license,授權方式,noun,
license key,授權金鑰,noun,
lightbox,燈箱,noun,
lightness,亮度,noun,
lightweight,輕量化,adjective,
Lima,利馬,noun,洲、國家/地區、城市名稱
Limburgish,林堡文,noun,語言名稱，介面中稱文不稱語
Lindeman,林德曼島,noun,洲、國家/地區、城市名稱
LINE,LINE,noun,通訊軟體名稱，LINE 全大寫
line break,分行符號,noun,
Lingala,林格拉文,noun,語言名稱，介面中稱文不稱語
link,連結,noun,
LinkedIn,LinkedIn,noun,社交網路服務平台名稱
Linux,Linux,noun,作業系統名稱
Lisbon,里斯本,noun,洲、國家/地區、城市名稱
list,清單,noun,
list view,清單檢視,noun,適用於檢視方式名稱
Lithuanian,立陶宛文,noun,語言名稱，介面中稱文不稱語
Ljubljana,盧布亞納,noun,洲、國家/地區、城市名稱
loader,載入程式,noun,
local,本機,noun,本機所代表的裝置不一定就在操作者身旁，也可以是操作者所操作的遠端裝置的本機
locale,地區語言,noun,
localization,本地化,noun,
log,記錄,noun,
log,記錄,verb,
log in,登入,verb,
log out,登出,verb,
login,登入,noun,
login,登入,verb,
logo,標誌,noun,不是全部的 Logo 都是「商標」，使用「標誌」比較中性
logout,登出,verb,
logout,登出,noun,
Lome,洛梅,noun,
London,倫敦,noun,洲、國家/地區、城市名稱
Longyearbyen,龍宜爾比恩,noun,洲、國家/地區、城市名稱
look up,查詢,verb,
lookup,查詢,verb,
loop,迴圈,noun,適用於程式開發
loopback,回送,verb,
loopback address,迴路位址,noun,
Lord Howe,羅豪,noun,洲、國家/地區、城市名稱
Los Angeles,洛杉磯,noun,洲、國家/地區、城市名稱
Louisville,路易維爾,noun,洲、國家/地區、城市名稱
Lower Alpha/Latin,小寫拉丁字元,noun,語言名稱，介面中稱文不稱語
Lower Armenian,小寫亞美尼亞文,noun,語言名稱，介面中稱文不稱語
Lower Greek,小寫希臘字母,noun,語言名稱，介面中稱文不稱語
Lower Princes,下太子區,noun,洲、國家/地區、城市名稱
Lower Roman,小寫羅馬數字,noun,語言名稱，介面中稱文不稱語
Lower Sorbian,下索布文,noun,語言名稱，介面中稱文不稱語
LTR,LTR,noun,文字方向 Left to Right (從左到右) 的縮寫，例如英文、繁體中文
LTR,從左至右,noun,文字方向 Left to Right (從左到右) 的縮寫，例如英文、繁體中文
Luanda,盧安達,noun,洲、國家/地區、城市名稱
Luba-Katanga,盧巴卡丹加文,noun,語言名稱，介面中稱文不稱語
Lubumbashi,羅彭巴布,noun,洲、國家/地區、城市名稱
Lusaka,路沙卡,noun,洲、國家/地區、城市名稱
Luxembourg,盧森堡,noun,洲、國家/地區、城市名稱
Luxembourgish,盧森堡文,noun,語言名稱，介面中稱文不稱語
Macanese pataca,澳門幣,noun,貨幣名稱
Macao,澳門,noun,洲、國家/地區、城市名稱
Macau,澳門,noun,洲、國家/地區、城市名稱
Macedonian,馬其頓文,noun,語言名稱，介面中稱文不稱語
Macedonian denar,馬其頓代納爾,noun,貨幣名稱
Maceio,馬瑟歐,noun,洲、國家/地區、城市名稱
macOS,macOS,noun,作業系統名稱
Macquarie,麥加利島,noun,洲、國家/地區、城市名稱
Madeira,馬迪拉群島,noun,洲、國家/地區、城市名稱
Madrid,馬德里,noun,洲、國家/地區、城市名稱
Magadan,馬加丹,noun,洲、國家/地區、城市名稱
Mahe,馬赫,noun,洲、國家/地區、城市名稱
Mailchimp,Mailchimp,noun,
maintenance,維護,noun,
Majuro,麥哲魯,noun,洲、國家/地區、城市名稱
Makassar,瑪加沙,noun,洲、國家/地區、城市名稱
Malabo,馬拉博,noun,洲、國家/地區、城市名稱
Malagasy,馬達加斯加文,noun,語言名稱，介面中稱文不稱語
Malagasy ariary,馬達加斯加阿里亞里,noun,貨幣名稱
Malawian kwacha,馬拉威克瓦查,noun,貨幣名稱
Malay,馬來文,noun,語言名稱，介面中稱文不稱語
Malayalam,馬來亞拉姆文,noun,語言名稱，介面中稱文不稱語
Malaysian ringgit,馬來西亞令吉,noun,貨幣名稱
Maldives,馬爾地夫,noun,洲、國家/地區、城市名稱
Maldivian rufiyaa,馬爾地夫拉菲亞,noun,貨幣名稱
malicious software,惡意軟體,noun,
Malta,馬爾他,noun,洲、國家/地區、城市名稱
Maltese,馬爾他文,noun,語言名稱，介面中稱文不稱語
manage,管理,verb,
management,管理,noun,
management,管理工作,noun,
manager,管理程式,noun,
Managua,馬納瓜,noun,洲、國家/地區、城市名稱
Manaus,瑪瑙斯,noun,洲、國家/地區、城市名稱
Manila,馬尼拉,noun,洲、國家/地區、城市名稱
manual install,手動安裝,verb,
manual installation,手動安裝,noun,
manually install,手動安裝,verb,
Manx,曼島文,noun,語言名稱，介面中稱文不稱語
Manx pound,曼島鎊,noun,貨幣名稱
Maori,毛利文,noun,語言名稱，介面中稱文不稱語
mapping,對應,adjective,
Maputo,馬布多,noun,洲、國家/地區、城市名稱
Marathi,馬拉提文,noun,語言名稱，介面中稱文不稱語
Marengo,馬倫戈,noun,洲、國家/地區、城市名稱
margin,邊界,noun,
MariaDB,MariaDB,noun,資料庫名稱
Mariehamn,瑪麗港,noun,洲、國家/地區、城市名稱
Marigot,馬里戈,noun,洲、國家/地區、城市名稱
mark,標示,verb,
Marquesas,馬克沙斯,noun,洲、國家/地區、城市名稱
Marshallese,馬紹爾文,noun,語言名稱，介面中稱文不稱語
Martinique,馬丁尼克,noun,洲、國家/地區、城市名稱
Maseru,馬塞魯,noun,洲、國家/地區、城市名稱
Mastodon,Mastodon,noun,社交網路服務平台名稱
Matamoros,馬塔莫羅斯,noun,洲、國家/地區、城市名稱
Mauritanian ouguiya,茅利塔尼亞烏吉亞,noun,貨幣名稱
