en,zh-tw,description
Tag ID,代碼 ID,Google 台灣官方譯文，適用於搜尋引擎相關內容及 Google Analystics
Tagalog,塔加拉族文,語言名稱，介面中稱文不稱語
tagline,網站說明,
Tahiti,大溪地,洲、國家/地區、城市名稱
Tahitian,大溪地文,語言名稱，介面中稱文不稱語
Taipei,台北,洲、國家/地區、城市名稱
Tajik,塔吉克文,語言名稱，介面中稱文不稱語
Tajikistani somoni,塔吉克斯坦索莫尼,貨幣名稱
Tallinn,塔林,洲、國家/地區、城市名稱
Tamil,坦米爾文,語言名稱，介面中稱文不稱語
Tamil (Sri Lanka),坦米爾文 (斯里蘭卡),語言名稱，介面中稱文不稱語
Tanzanian shilling,坦尚尼亞先令,貨幣名稱
Tarawa,塔拉瓦,洲、國家/地區、城市名稱
target audience,目標對象,
Tashkent,塔什干,洲、國家/地區、城市名稱
task,工作,
Tasmania,塔斯馬尼亞,洲、國家/地區、城市名稱
Tatar,韃靼文,語言名稱，介面中稱文不稱語
taxonomy,分類法,
Tbilisi,第比利斯,洲、國家/地區、城市名稱
Tegucigalpa,德古西加巴,洲、國家/地區、城市名稱
Tehran,德黑蘭,洲、國家/地區、城市名稱
Tel Aviv,特拉維夫,洲、國家/地區、城市名稱
Telegram,Telegram,通訊軟體名稱
Tell City,特爾城,洲、國家/地區、城市名稱
Telugu,泰盧固文,語言名稱，介面中稱文不稱語
template,範本,
template part,範本組件,適用於區塊編輯器、網站編輯器相關內容
term,分類法詞彙,適用於 WordPress 分類法相關內容
test,測試,
test unit,測試單元,
text editor,文字編輯器,
Thai,泰文,語言名稱，介面中稱文不稱語
Thai baht,泰銖,貨幣名稱
theme,佈景主題,
theme directory,佈景主題目錄,
theme name,佈景主題名稱,
theme option,佈景主題選項,
Thimbu,辛布,洲、國家/地區、城市名稱
Thimphu,辛布,洲、國家/地區、城市名稱
Thule,土里島,洲、國家/地區、城市名稱
thumb,縮圖,有些開發者會將 Thumbnail 簡寫為 Thumb
thumbnail,縮圖,
thumbnail size,縮圖尺寸,
Thunder Bay,桑德灣,洲、國家/地區、城市名稱
Tibetan,藏文,語言名稱，介面中稱文不稱語
Tigrinya,提格利尼亞文,語言名稱，介面中稱文不稱語
Tijuana,提華納,洲、國家/地區、城市名稱
Timbuktu,廷巴克圖,洲、國家/地區、城市名稱
time format,時間格式,
timer,計時器,
timezone,時區,
TinyMCE,TinyMCE,
Tirane,地拉那,洲、國家/地區、城市名稱
Tiraspol,提拉斯浦,洲、國家/地區、城市名稱
title,標題,
TLD,頂層網域,如果是與網域相關的內容，就是 top level domain 的縮寫
TLD,TLD,如果是與網域相關的內容，就是 top level domain 的縮寫
TOC,TOC,
TOC,目錄,
TOC,內容目錄,
token,權杖,
Tokyo,東京,洲、國家/地區、城市名稱
Tomsk,托木斯克,洲、國家/地區、城市名稱
Tonga,東加文,語言名稱，介面中稱文不稱語
Tongan pa&#x2bb;anga,東加潘加,貨幣名稱
Tongatapu,東加塔普,洲、國家/地區、城市名稱
tool,工具,
top level domain,頂層網域,
top-level domain,頂層網域,
Toronto,多倫多,洲、國家/地區、城市名稱
Tortola,托托拉,洲、國家/地區、城市名稱
track,追蹤,
trackback,引用通知,
tracker,追蹤器,
tracking code,追蹤程式碼,Google 台灣官方譯文，適用於搜尋引擎相關內容及 Google Analystics
trademark,商標,
Traditional Chinese,繁體中文,語言名稱，介面中稱文不稱語
Traditional Chinese Formal,繁體中文 (正式),語言名稱，介面中稱文不稱語
Traditional Chinese Informal,繁體中文 (口語),語言名稱，介面中稱文不稱語
translation,譯文,
translation,語言套件,
translation,本地化,
Transnistrian ruble,聶斯特河沿岸盧布,貨幣名稱
transparent,透明度,
transport,傳輸,
trash,回收桶,
trash,移至回收桶,
Trinidad and Tobago dollar,千里達及托巴哥元,貨幣名稱
Tripoli,的黎波里,洲、國家/地區、城市名稱
Troll,特羅爾站,洲、國家/地區、城市名稱
Truk,楚克,洲、國家/地區、城市名稱
Truth Social,Truth Social,社交網路服務平台名稱
try again,再試一次,
Tsonga,頌加文,語言名稱，介面中稱文不稱語
Tswana,班圖文,語言名稱，介面中稱文不稱語
Tucuman,圖庫曼,洲、國家/地區、城市名稱
Tumblr,Tumblr,內容發佈平台名稱
Tunis,突尼斯,洲、國家/地區、城市名稱
Tunisian dinar,突尼西亞戴納,貨幣名稱
tunnel,通道,
Turkish,土耳其文,語言名稱，介面中稱文不稱語
Turkish lira,土耳其里拉,貨幣名稱
Turkmen,土庫曼文,語言名稱，介面中稱文不稱語
Turkmenistan manat,土庫曼斯坦馬納特,貨幣名稱
Twi,帝維文,語言名稱，介面中稱文不稱語
Twitter,Twitter,社交網路服務平台名稱
two-factor authentication,兩步驟驗證,
two-step authentication,兩步驟驗證,
typography,排版樣式,
Ubuntu,Ubuntu,Linux 發行版本名稱
UCT,UCT,
Ugandan shilling,烏干達先令,貨幣名稱
Uighur,維吾爾文,語言名稱，介面中稱文不稱語
Ujung Pandang,錫江,洲、國家/地區、城市名稱
Ukrainian,烏克蘭文,語言名稱，介面中稱文不稱語
Ukrainian hryvnia,烏克蘭格里夫納,貨幣名稱
Ulaanbaatar,烏蘭巴托,洲、國家/地區、城市名稱
Ulan Bator,烏蘭巴托,洲、國家/地區、城市名稱
Ulyanovsk,烏里揚諾夫斯克,洲、國家/地區、城市名稱
underscore,底線,
underscore,底線,適用於標點符號 _
undo,復原,
ungroup,取消群組,
unique,唯一,
unique identifier,唯一識別碼,
United Arab Emirates dirham,阿拉伯聯合大公國迪拉姆,貨幣名稱
United States dollar,美元,貨幣名稱
Universal,國際標準時間,
universal,標準,
universal,通用,
unload,解除載入,從儲存空間移除儲存的項目。
unload,卸載,將軟體從系統記憶體中移除。
unsaved change,未儲存的變更,
unschedule,取消排程,
untitled,未命名,
unwanted software,垃圾軟體,
up arrow key,向上鍵,鍵盤按鍵名稱
update,更新,
upgrade,升級,
uploader,上傳程式,
Upper Alpha/Latin,大寫拉丁字元,語言名稱，介面中稱文不稱語
Upper Roman,大寫羅馬數字,語言名稱，介面中稱文不稱語
Upper Sorbian,上索布文,語言名稱，介面中稱文不稱語
Urdu,烏都文,語言名稱，介面中稱文不稱語
URI,URI,
URL,網址,
URL Slug,網址代稱,
Uruguayan peso,烏拉圭披索,貨幣名稱
Urumqi,烏魯木齊,洲、國家/地區、城市名稱
user,使用者,
user agent,使用者代理程式,
user interface,使用者介面,
user role,使用者角色,
Ushuaia,烏斯懷亞,洲、國家/地區、城市名稱
Ust-Nera,烏斯季涅拉,洲、國家/地區、城市名稱
UTC,國際標準時間 (UTC),
Uzbek,烏茲別克文,語言名稱，介面中稱文不稱語
Uzbekistani som,烏茲別克索姆,貨幣名稱
Uzhgorod,烏日霍羅德,洲、國家/地區、城市名稱
Vaduz,瓦都茲,洲、國家/地區、城市名稱
Vancouver,溫哥華,洲、國家/地區、城市名稱
Vanuatu vatu,萬那杜瓦圖,貨幣名稱
variable font,可變字型,Google 台灣官方譯文，適用於字型相關內容
variation,樣式變化,適用於 WordPress 全站編輯
Vatican,梵蒂岡,
Venda,文達文,語言名稱，介面中稱文不稱語
vendor,廠商,
Venezuelan bol&iacute;var,委內瑞拉玻利瓦爾,貨幣名稱
verification,驗證,
verification code,驗證碼,
verify,驗證,
version control,版本控制,
vertical,垂直,
Vevay,韋韋,洲、國家/地區、城市名稱
Viber,Viber,通訊軟體名稱
Victoria,維多利亞省,洲、國家/地區、城市名稱
video,視訊,
Vienna,維也納,洲、國家/地區、城市名稱
Vientiane,永珍,洲、國家/地區、城市名稱
Vietnamese,越南文,語言名稱，介面中稱文不稱語
Vietnamese &#x111;&#x1ed3;ng,越南盾,貨幣名稱
view all,檢視全部,
view mode,檢視模式,
viewer,檢視器,
viewport,檢視區,適用於網頁設計
Vilnius,維爾紐斯,洲、國家/地區、城市名稱
Vimeo,Vimeo,線上影音串流服務名稱
Vincennes,湯森斯,洲、國家/地區、城市名稱
Virgin,維爾京群島,洲、國家/地區、城市名稱
virtual,虛擬,
visual editor,視覺化編輯器,
VK,VK,社交網路服務平台名稱
Vkontakte,Vkontakte,社交網路服務平台名稱
Vladivostok,海參崴,洲、國家/地區、城市名稱
Volapuk,沃拉普克文,語言名稱，介面中稱文不稱語
Volgograd,伏爾加格勒,洲、國家/地區、城市名稱
Vostok,弗斯托克,洲、國家/地區、城市名稱
Wake,威克島,洲、國家/地區、城市名稱
Wallis,瓦利斯,洲、國家/地區、城市名稱
Walloon,華隆文,語言名稱，介面中稱文不稱語
Warsaw,華沙,洲、國家/地區、城市名稱
web font,網頁字型,適用於字型相關內容
webfont,網頁字型,適用於字型相關內容
website,網站,
Welsh,威爾斯文,語言名稱，介面中稱文不稱語
West,西澳省,洲、國家/地區、城市名稱
West African CFA franc,西非法郎 (非洲金融共同體法郎),貨幣名稱
Western Frisian,西弗里西亞文,語言名稱，介面中稱文不稱語
what you see is what you get,所見即所得,
WhatsApp,WhatsApp,通訊軟體名稱
what-you-see-is-what-you-get,所見即所得,
white list,允許清單,
Whitehorse,白馬鎮,洲、國家/地區、城市名稱
whitelist,允許清單,
widget,小工具,
widget area,小工具區域,
width,寬度,
wildcard,萬用字元,
wildcard certificate,萬用字元憑證,
Winamac,威納馬克,洲、國家/地區、城市名稱
Windhoek,溫吐克,洲、國家/地區、城市名稱
window,視窗,
Windows,Windows,作業系統名稱
Winnipeg,溫尼柏,洲、國家/地區、城市名稱
wizard,精靈,
Wolof,沃洛夫文,語言名稱，介面中稱文不稱語
WooCommerce,WooCommerce,
WordCamp,WordCamp 活動,
WordPress,WordPress,
WordPress Core,WordPress 核心程式,
WordPress Multisite,WordPress 多站網路,Multisite 是舊版詞彙，與新版的 Network 統一譯文為「多站網路」
WordPress Network,WordPress 多站網路,Network 是新版詞彙，與舊版的 Multisite 統一譯文為「多站網路」
WordPress.com,WordPress.com,
WYSIWYG,WYSIWYG,What You See Is What You Get (所見即所得) 的縮寫
WYSIWYG,所見即所得,What You See Is What You Get (所見即所得) 的縮寫
Xhosa,廓薩文,語言名稱，介面中稱文不稱語
XML,XML,
XML-RPC,XML-RPC,
Yakutat,亞庫塔特,洲、國家/地區、城市名稱
Yakutsk,雅庫茨克,洲、國家/地區、城市名稱
Yancowinna,揚科維納,洲、國家/地區、城市名稱
Yangon,仰光,洲、國家/地區、城市名稱
Yap,雅浦島,洲、國家/地區、城市名稱
Yekaterinburg,耶卡特寧伯格,洲、國家/地區、城市名稱
Yellowknife,耶洛奈夫,洲、國家/地區、城市名稱
Yemeni rial,葉門里亞爾,貨幣名稱
Yerevan,葉里溫,洲、國家/地區、城市名稱
Yiddish,意第緒文,語言名稱，介面中稱文不稱語
Yoruba,優魯巴文,語言名稱，介面中稱文不稱語
YouTube,YouTube,線上影音串流服務名稱
Zagreb,札格雷布,洲、國家/地區、城市名稱
Zaporozhye,札波羅結,洲、國家/地區、城市名稱
Zhuang,壯文,語言名稱，介面中稱文不稱語
Zulu,祖魯,洲、國家/地區、城市名稱
Zurich,蘇黎世,洲、國家/地區、城市名稱
asterisk,星號,即 * 這個符號
receipt,收據,適用於電子商務
receipt,回條,適用於聯絡表單或電子郵件
activation code,啟用代碼,
font collection,字型集,
status code,狀態代碼,
error code,錯誤代碼,
reply code,回覆代碼,
patch,修補程式,
hot fix,修正程式,
hotfix,修正程式,
rollup,匯總套件,
redirection code,重新導向代碼,
roadmap,藍圖,
Patchstack,Patchstack,
heartbeat,活動訊號,
recompile,重新編譯,
performance,效能,
suspension,暫停,
sensor,感應器,
cross-selling,交叉銷售,
cross-sell,交叉銷售,
upselling,追加銷售,
upsell,追加銷售,
clipboard,剪貼簿,
Short URL,短網址,
structure tag,結構標籤,
wishlist,願望清單,
LINE,LINE,通訊軟體名稱
ascending,遞增,
descending,遞減,
ASC,遞增,如果是排序方式的屬性值，請保留原文
DES,遞減,如果是排序方式的屬性值，請保留原文
firewall,防火牆,
lock down,鎖定,
lockdown,鎖定,
legitimate,合法,
legitimate,正當,
upload,上傳,
correlate,相互關聯,
gateway,閘道,
robots.txt,robots.txt,
Open Graph,開放社交關係圖,Facebook 官方譯文
white label,自訂品牌,
manifest,資訊清單,
enumeration,列舉,
enumerate,列舉,
bloat,浮濫功能,
bloatware,浮濫軟體,
redundant,冗餘,
webinar,網路研討會,
principle,原則,
ownership,擁有權,
funding,資金,
generative AI,生成式 AI,
generative pre-trained transformer,生成式預先訓練轉換器,
generative,生成式,
pre-trained,預先訓練,
transformer,轉換器,
boolean,布林,
operator,運算子,
copy,複製,
assignment,指派,
copy,複本,
script tag,指令碼標籤,
helper,協助程式,
serif,有襯線,
sans serif,無襯線,
serif,有襯線字型,字型的基本外觀分類，英文字型如 Times New Roman，繁體中文字型如 Noto Serif TC。
sans serif,無襯線字型,字型的基本外觀分類，英文字型如 Arial，繁體中文字型如 Noto Sans TC。
reverse lookup,反向對應,
Fully Qualified Domain Name,完整網域名稱,
FQDN,FQDN,FQDN 是 Fully Qualified Domain Name (完整網域名稱) 的縮寫
Domain Name System,網域名稱系統,
DNS,DNS,DNS 是 Domain Name System (網域名稱系統) 的縮寫
resolver,解析程式,
paywall,付費牆,
paywall,需要付費,
empty string,空白字串,
value-added tax,加值稅,
VAT,加值稅,
shallow copy,淺層複製,對來源項目進行淺層複製，目標項目與來源項目共享相同引用的複本。在這種狀態下，無論變更來源項目或目標項目，都會導致另一個項目的變更。
deep copy,深層複製,對來源項目進行深層複製，目標項目與來源項目為分別獨立的項目，變更其中一個項目不會影響另一個項目。
programming language,程式設計語言,
salt,加密字串,
transactional email ,觸發式電子郵件,
edit,編輯,
validate,驗證,
validation,驗證,
expression,運算式,適用於程式開發
privacy statement,隱私權聲明,
statement,聲明,
statement,陳述式,適用於程式開發
release candidate,發行候選版本,
RC,RC,RC 通常是 Release Candidate (發行候選版本) 的縮寫
typo,拼寫錯誤,
Threads,Threads,社交網路服務平台名稱
assertion,判斷提示,適用於程式開發
override,覆寫,
retrieve,擷取,
defer,延遲,
defer,順延,
Audio,音訊,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Video,視訊,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Status,近況簡述,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Quote,引文,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Image,圖片,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Link,連結,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Gallery,圖庫,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Chat,交談記錄,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Aside,記事,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
Standard,標準,WordPress 核心程式內建的文章格式 (Post Format) 之一，需要佈景主題支援才能顯示
blockquote,段落引用,
security token,安全性憑證,
Generic top-level domain,通用頂層網域,
registry,網域註冊管理機構,如果 registry 用於與網域註冊相關的內容，有一定的機會是指「網域註冊管理機構」。
gTLD,gTLD,Generic top-level domain (通用頂層網域) 的縮寫
gTLD,通用頂層網域,Generic top-level domain (通用頂層網域) 的縮寫
ccTLD,ccTLD,Country code top-level-domain (國家/地區代碼頂層網域) 的縮寫
ccTLD,國家/地區代碼頂層網域,Country code top-level-domain (國家/地區代碼頂層網域) 的縮寫
Country code top-level-domain,國家/地區代碼頂層網域,
decentralize,分散式,
centralize,集中式,
decentralized,分散式,
centralized,集中式,
Black Friday,黑色星期五,
Cyber Monday,網購星期一,
Uyghur,維吾爾文,語言名稱，介面中稱文不稱語
MIME,MIME,
MIME Type,MIME 類型,
preserve,保留,
reserve,保留,
context menu,操作功能表,
dialog,對話,
dialog box,對話方塊,
dialog,對話方塊,
temporary directory,暫存目錄,
redo,取消復原,
unmount,卸載,適用於連接儲存裝置
mount,掛接,適用於連接儲存裝置
dismount,卸載,適用於連接儲存裝置
popup,彈出式訊息,
temporary file,暫存檔案,
playlist,播放清單,
threshold,臨界值,
threshold,閾值,「閾值」對一般人來說比較不好理解，一般可以使用「臨界值」
comma separated values,逗點分隔值,檔案格式的一種，縮寫為 CSV
CSV,CSV,CSV 是 Comma Separated Values (逗點分隔值) 的縮寫，檔案格式的一種
file type,檔案類型,
file type association,檔案類型關聯,
acquire,擷取,
algorithm,演算法,
hash,雜湊,
hash,雜湊值,
mouseover,游標暫留,
incremental search,累加搜尋,
impersonate,模擬,
malware,惡意程式碼,
phish,網路釣魚,
phishing,網路釣魚,
quick start,快速入門,
tutorial,教學課程,
LinkedIn,LinkedIn,
TikTok,TikTok,
campaign,廣告活動,Google 官方譯文 (建議採用)
uptime,運作時間,
downtime,停機時間,
outage,中斷,
incident,事件,
event,事件,
breakdown,解析,
spacer,空白間隔,
progress bar,進度列,
workaround,因應措施,
solution,解決方案,
query string,查詢字串,
check,核取,操作對象為核取方塊 (Checkbox) 時使用
uncheck,取消核取,操作對象為核取方塊 (Checkbox) 時使用
wipe,抹除,
tree view,樹狀檢視,適用於檢視方式名稱
tree,樹狀結構,適用於說明結構顯示方式
flat,平面,
flat,單層式,
multicurrency,多重貨幣,
multi-currency,多重貨幣,
mailer,郵件程式,
lifetime license,終生授權,
startup,啟動,
startup folder,起始資料夾,
startup,起始,
multilingual,多語,
multilingual,多語系,
multi-purpose,多用途,
multipurpose,多用途,
starter kit,入門套件,
starter,入門,
starter,起始,
kit,套件,
cross-site,跨網站,
cross site,跨網站,
panel,面板,
Sublime Text,Sublime Text,純文字編輯器名稱。
Emacs,Emacs,純文字編輯器名稱。
Vim,Vim,純文字編輯器名稱。
fold,折疊,
vault,保存庫,
compatibility,相容性,
command line,命令列,
command,命令,
whitespace,空白字元,
non-whitespace,非空白字元,
address book,通訊錄,
one-time password,單次有效密碼,
OTP,OTP,OTP 通常是 One-Time Password (單次有效密碼) 的縮寫
OTP,單次有效密碼,OTP 通常是 One-Time Password (單次有效密碼) 的縮寫
Gaelic,蓋爾文,語言名稱，介面中稱文不稱語
Hawaiian,夏威夷文,語言名稱，介面中稱文不稱語
Hmong,白苗文,語言名稱，介面中稱文不稱語
Nyanja,尼揚賈文,語言名稱，介面中稱文不稱語
Zulu,祖魯文,語言名稱，介面中稱文不稱語
resend,重新傳送,
open rate,開啟率,
asynchronous,非同步,
socket,通訊端,
trillion,兆,不要直譯，該換算成本地用法就換算。舉例來說，10 thousand 是 1 萬 (不是 10 千)，12 million 是 1 千 2 百萬 (或 1200 萬，不是 12 百萬)，1.4 billion 是 14 億 (不是 1.4 十億)
million,百萬,不要直譯，該換算成本地用法就換算。舉例來說，10 thousand 是 1 萬 (不是 10 千)，12 million 是 1 千 2 百萬 (或 1200 萬，不是 12 百萬)，1.4 billion 是 14 億 (不是 1.4 十億)
thousand,千,不要直譯，該換算成本地用法就換算。舉例來說，10 thousand 是 1 萬 (不是 10 千)，12 million 是 1 千 2 百萬 (或 1200 萬，不是 12 百萬)，1.4 billion 是 14 億 (不是 1.4 十億)
billion,十億,不要直譯，該換算成本地用法就換算。舉例來說，10 thousand 是 1 萬 (不是 10 千)，12 million 是 1 千 2 百萬 (或 1200 萬，不是 12 百萬)，1.4 billion 是 14 億 (不是 1.4 十億)
infrastructure,基礎結構,
one-to-one,一對一,
encode,編碼,
encoder,編碼器,
decode,解碼,
decoder,解碼器,
pane,窗格,
long-tail,長尾,
long tail,長尾,
notation,符號,
annotation,註解,
tilde,波狀符號,
exclamation point,驚嘆號,
percent,百分比符號,
caret,插入號,
ampersand,and 符號,
apostrophe,單引號,
backslash,反斜線,
accent grave,抑音符號,
left brace,左大括弧,
right brace,右大括弧,
left parenthesis,左括弧,
right parenthesis,右括弧,
comma,逗號,
sandbox,沙箱,
ad blocker,廣告攔截器,
ad-blocker,廣告攔截器,
adblocker,廣告攔截器,
non-infringement,未侵權,
noninfringement,未侵權,
infringement,侵權,
trigger,觸發,
trigger,觸發程序,
capability,權限,以 WordPress 使用這個字彙的實際用途及定義而言，絕大多數的時候是指「權限」。
Lao People's Democratic Republi,寮國,
Lao,寮國,
Laos,寮國,
United Kingdom of Great Britain and Northern Ireland,大不列顛及北愛爾蘭聯合王國,
United Kingdom of Great Britain and Northern Ireland,英國,
United States of America,美國,
Holy See,梵蒂岡,
United Kingdom,英國,
United States,美國,
North Korean,朝鮮,
South Korean,韓國,
Korea (the Republic of),韓國,
Korea (the Democratic People's Republic of),朝鮮,
Republic of North Macedonia,北馬其頓,
Republic of North Macedonia,北馬其頓共和國,
Côte d`Ivoire,象牙海岸,
Falkland Islands,福克蘭群島,
Malvinas,馬爾維納斯,
virtual private network,虛擬私人網路,
VPN,VPN,
virtual private server,虛擬專屬伺服器,
VPS,VPS,
Shared Hosting,共享主機,
structured data,結構化資料,
BY,姓名標示,適用於 Creative Commons 創用 CC 授權方式
NC,非商業性,適用於 Creative Commons 創用 CC 授權方式
ND,禁止改作,適用於 Creative Commons 創用 CC 授權方式
SA,相同方式分享,適用於 Creative Commons 創用 CC 授權方式
availability,可用性,
booking,預約,
check,檢查,
impression,曝光次數,適用於搜尋引擎及網路廣告相關內容
position,排名,適用於搜尋引擎及網路廣告相關內容
click,點擊次數,適用於搜尋引擎及網路廣告相關內容
instantiate,具現化,適用於程式開發
fine-tune,微調,
fine tune,微調,
blockchain,區塊鏈,
book,預約,
contextual menus,操作功能表,
schema,結構定義,Google 官方譯文 (如果是網際網路及網站相關，建議採用)
Rich Results Test,複合式搜尋結果測試,Google 官方測試工具名稱
Schema Markup Validator,結構定義標記驗證工具,Google 官方測試工具名稱
declaration,宣告,
unauthorized,未經授權的,
timestamp,時間戳記,
Knowledge Graph,知識圖譜,Google 官方譯文 (如果是網際網路及網站相關，建議採用)
updater,更新程式,
sales funnel ,行銷漏斗,
Core Web Vitals,網站使用體驗核心指標,這是 Google 推廣的網站評估指標，請使用 Google 官方譯文。
compiler,編譯器,
CWV,CWV,一般來說，CWV 會是 Core Web Vitals (網站使用體驗核心指標) 的縮寫
Kyrgyz,吉爾吉斯文,語言名稱，介面中稱文不稱語
